DATASET_HEATMAP
SEPARATOR,COMMA
DATASET_LABEL,pathways
COLOR,#ff0000
FIELD_LABELS,Cysteine.Biosynthesis,Sulfite.Export,Methanethiol.Degradation,Cysteine.Degradation,Coenzyme.A.Degradation,S.adenosyl.L.homocysteine.degradation,Cysteate.Degradation,DMSP.degradation,Biotin.Degradation,N.acetyltaurine.Transport,Sulfoacetaldehyde.Degradation,Isethionate.Transport,DHPS.Transporter,Methionine.Synthesis,X3.Mercaptopyruvate.Degradation,Glutathione.Synthesis,Glutathione.disulfide.degradation.and.synthesis,Biotin.Transport,Taurine.Degradation,DHPS.Degradation,Methanethiol.Synthesis,Methionine.Degradation,Hypotaurine.Degradation,Taurine.Transport,Methanesulfonate.Degradation,Choline.O.sulfate.Transport,Methionine.Transport,Sulfolactate.degradation,Sulfopyruvate.Degradation,Methionine...N.Acyl.L.homoserine.lactone,SO4thiosulfate.transporter,Dimethylsulfoxide.Degradation,Choline.O.sulfate.Degradation,Dimethylsulfone.Degradation,Glutathione.Transporter,Sulfite.Dehydrogenase
BATS_SAMN07137070_METAG_BGKDDPME,0.5,1,0,1,0,1,0,1,1,0,0,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137070_METAG_BLPGIOAK,1,1,1,1,1,1,1,1,1,0,1,0,0,0.833333333,1,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137070_METAG_FENLIEBD,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137070_METAG_IHHCNMND,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0.5,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137070_METAG_LAFPDKBJ,1,1,1,0.5,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137071_METAG_BHOICPJG,1,1,1,0,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137071_METAG_JJLIDMBB,1,1,0,1,0,0,1,1,1,1,0,1,1,0.833333333,0,0.5,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137071_METAG_LMCBPIBL,1,1,1,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137071_METAG_NHDEKCKD,1,1,1,1,1,1,1,1,1,0,1,0,0,0.833333333,1,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137071_METAG_PONJEGOG,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0.5,1,1,0,1,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137072_METAG_DFJNNDLE,0.5,1,0,1,1,1,1,1,1,1,1,0,0,0.5,1,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137072_METAG_DGLHFLDN,1,1,1,1,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137072_METAG_DMGBPHJB,1,1,1,1,1,1,0,1,1,0,0,1,1,0.75,1,0.5,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137072_METAG_HNDGHLMM,1,0,1,1,1,0,1,0,0,0,0,1,1,0.333333333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137072_METAG_MPFHPFLA,0.5,1,0,1,0,1,0,1,1,0,0,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137072_METAG_POIDIKNE,0.5,1,0,1,0,1,0,1,1,0,1,0,0,0.5,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137073_METAG_JMILPFGP,1,1,1,1,1,0,0,1,0,1,1,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137073_METAG_LPHCDAGP,0.5,1,0,1,0,1,0,1,0,0,1,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137074_METAG_EHPJFMIB,1,0,1,1,1,1,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137074_METAG_HDEINNNP,1,1,1,0.5,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137074_METAG_IMGDKPKL,1,1,1,1,1,1,0,1,0,1,0,1,1,0.833333333,0,1,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137074_METAG_IMLDABME,0.5,1,0,1,0,0,0,1,1,0,1,0,0,0.75,1,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137074_METAG_NKPOJNIF,1,1,1,1,0,1,1,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137074_METAG_OFNLGJME,1,1,1,0.5,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137075_METAG_ACAOHBAE,1,1,1,1,1,1,0,1,0,1,0,1,1,0.833333333,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137075_METAG_AKJHGNLI,1,1,1,1,0,1,1,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137075_METAG_AOGNDBLA,1,1,1,1,1,1,0,1,0,0,1,0,0,0.833333333,1,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137075_METAG_ELGOECLA,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137075_METAG_LAJLEDEO,0.666666667,1,0,0.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137075_METAG_MCFJILNF,1,1,1,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137076_METAG_CAHCOHNA,1,1,1,1,1,0,1,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137076_METAG_CNALAKDP,1,1,1,0.5,0,0,1,0,0,0,1,0,0,0.833333333,1,0.5,0,0,1,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137076_METAG_LJNCHAMC,1,1,1,0.5,1,1,1,1,0,0,1,1,1,0.666666667,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
BATS_SAMN07137077_METAG_EGGHALDA,1,1,1,1,0,1,1,1,0,0,1,0,0,0.666666667,1,0,0,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137077_METAG_GMOHACNB,1,1,1,1,1,1,1,1,0,0,1,0,0,0.833333333,1,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137078_METAG_BFEFAKNI,1,1,1,1,1,1,1,1,1,1,1,0,0,0.666666667,1,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137078_METAG_CCKNAKNE,0.5,1,0,1,0,0,0,1,0,0,1,0,0,0.75,1,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137078_METAG_HOACHCKF,1,1,1,0.5,1,1,0,0,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137078_METAG_PEIKFEOP,1,1,0,0.5,1,1,1,1,1,1,1,0,0,0.5,1,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137080_METAG_GGGCCEFE,0.5,1,0,1,1,0,0,1,1,0,0,1,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137080_METAG_HGHEONPE,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137080_METAG_HLJFGJKK,1,1,1,1,0,1,1,1,0,1,1,0,0,0.666666667,1,0,0,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137080_METAG_JCLACDHD,0.5,1,0,1,1,1,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137080_METAG_KPNAPJCN,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137080_METAG_MCGMJANA,1,1,1,1,1,1,0,1,0,0,1,0,0,0.333333333,0,0,0,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137080_METAG_MMHFAGGL,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0.5,1,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137080_METAG_MMKIJFCG,1,1,1,1,1,0,0,0,0,0,1,0,0,0.833333333,0,0.5,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137081_METAG_DBGAEJKF,0.5,1,0,1,0,1,1,1,1,0,0,0,0,0.333333333,1,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137081_METAG_EDAPPPOL,1,0,1,1,0,1,1,1,1,0,0,1,1,0.666666667,0,1,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137083_METAG_AJFMLBHD,1,1,1,1,1,0,0,0,0,0,1,0,0,0.833333333,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137083_METAG_EDECNLOO,0.5,1,0,1,0,1,0,1,1,0,0,0,0,0.5,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137084_METAG_GGABDFMM,1,1,1,1,1,1,1,1,1,1,1,0,0,0.666666667,1,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137084_METAG_ILIDLFPI,0.5,1,0,1,0,1,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137084_METAG_OHEDIJJF,1,1,1,1,1,1,0,0,0,0,1,0,0,0.833333333,0,0.5,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137085_METAG_DFMHGLCG,1,1,1,1,1,0,1,1,0,0,1,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137085_METAG_FEEICCHN,1,1,1,1,1,1,0,1,1,1,0,1,1,0.666666667,0,0.5,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137085_METAG_FODJCNAI,0.5,1,0,1,1,1,0,0,1,1,0,0,0,0.25,0,0.5,0,0,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137085_METAG_ICGDMHCK,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0.333333333,0,0,0
BATS_SAMN07137085_METAG_ILCDCCGI,0.5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137085_METAG_JKJAACCA,1,1,1,1,1,1,0,1,1,0,1,1,1,0.833333333,0,1,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137085_METAG_JNAMCKLG,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137085_METAG_LOAJIEAD,0.5,1,0,1,1,0,0,0,1,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137085_METAG_NIGFOFIH,1,1,1,1,1,1,0,0,1,0,0,1,1,0.75,0,1,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137085_METAG_PHPIHKPK,0.5,1,0,1,1,0,0,0,0,1,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137086_METAG_CJKOCMME,0.5,1,0,1,0,1,0,1,1,0,1,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137086_METAG_DBIIEOJM,1,1,1,1,1,1,0,0,0,0,0,0,0,0.666666667,0,0.5,0,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137086_METAG_GNBHKPNE,1,0,1,1,1,1,1,1,1,0,1,0,0,0.75,0,0,0,1,0,0,0,0.666666667,0,0,1,0,0,0,1,0,0,0,0.666666667,0,0,0
BATS_SAMN07137086_METAG_HAKOLABI,1,1,1,0.5,0,1,1,0,1,1,1,1,1,1,0,0.5,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137086_METAG_HGFNHELP,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137086_METAG_HNJEHGAI,1,1,1,1,1,1,0,1,1,0,0,1,1,0.75,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137086_METAG_ILAJBOGK,1,1,1,1,1,0,1,0,0,0,1,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137086_METAG_MOCNKGHL,1,1,1,1,1,1,1,1,0,0,1,0,0,0.833333333,0,0,0,0,1,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137087_METAG_BBPFAGFK,1,1,1,0.5,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137087_METAG_BPFGOMMN,0.5,1,0,0,0,1,0,1,1,0,1,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137087_METAG_CDOPEKMJ,0.666666667,1,0,1,1,1,1,1,1,1,1,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137087_METAG_GICAJIFE,1,1,1,1,1,1,1,1,0,1,1,0,0,0.666666667,1,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137087_METAG_MJFPPJJK,0.5,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137088_METAG_AMNAKDDM,1,1,1,1,1,1,1,0,0,0,0,1,1,0.75,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137088_METAG_DMCMKNOK,1,1,1,1,1,1,0,1,1,0,1,1,1,0.833333333,0,1,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137088_METAG_FCCPHKBE,0.5,1,0,1,1,1,0,0,1,1,0,0,0,0.25,0,0.5,0,0,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137088_METAG_FPPDLBLC,1,1,1,1,1,0,0,1,1,1,1,0,0,0.75,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137088_METAG_GJOHBOPJ,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137088_METAG_LCMCGCNF,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0.666666667,0,1,0,0,0,0,1,0,0,0,0.333333333,0,0,0
BATS_SAMN07137088_METAG_MJOOHEFJ,1,0,1,1,1,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137089_METAG_FDODAMEC,1,1,1,1,1,0,0,0,0,0,1,0,0,0.833333333,0,0.5,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137089_METAG_INMJCONJ,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0.5,1,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137090_METAG_BKFFIOMG,1,1,1,0,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137090_METAG_CKHLPNPA,1,1,1,1,1,1,1,1,0,0,1,0,0,0.833333333,0,0,0,0,1,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0
BATS_SAMN07137090_METAG_IBJEELNE,1,1,1,1,1,1,0,0,0,0,1,0,0,0.833333333,0,0.5,0,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137090_METAG_KNFGANLC,1,1,1,0.5,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137090_METAG_KONAJOAK,0.5,1,0,0,0,1,0,1,1,0,0,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137090_METAG_OEMAMEFP,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137091_METAG_BBLHOBIK,1,0,1,1,1,1,1,1,0,0,1,1,1,0.833333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137091_METAG_EDBAJBAA,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137091_METAG_LHOEBINA,0.5,1,0,1,0,1,0,1,1,0,1,0,0,0.75,1,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137091_METAG_OMNOJDCO,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137092_METAG_CHCDBIHE,0.5,1,0,0,0,0,0,0,1,0,1,0,0,0.5,1,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137092_METAG_HLMFKHHG,1,1,1,1,1,1,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137092_METAG_KBGJALEJ,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137092_METAG_LFPPLGME,1,1,0,0.5,0,0,1,0,0,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137092_METAG_MEKLHPJB,1,1,1,1,1,1,1,0,0,0,1,1,1,0.666666667,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137092_METAG_MLACAOKI,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137093_METAG_CAPMPJHD,1,1,1,1,1,1,0,0,0,0,1,0,0,0.833333333,0,0.5,0,1,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATS_SAMN07137094_METAG_GBBMEJPB,1,1,1,1,1,1,1,0,0,0,0,1,1,0.75,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
BATS_SAMN07137094_METAG_OKFBDJMM,1,1,1,0.5,1,0,1,1,0,0,1,1,1,0.666666667,0,1,0,1,0,1,0,0.333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
