DATASET_HEATMAP
SEPARATOR,COMMA
BATS_SAMN07137084_METAG_ILIDLFPI,77.56
BATS_SAMN07137084_METAG_OHEDIJJF,76.64
BATS_SAMN07137085_METAG_DFMHGLCG,93.56
BATS_SAMN07137085_METAG_FEEICCHN,76.1
BATS_SAMN07137085_METAG_FODJCNAI,77
BATS_SAMN07137085_METAG_ICGDMHCK,79.56
BATS_SAMN07137085_METAG_ILCDCCGI,77.38
BATS_SAMN07137085_METAG_JKJAACCA,84
BATS_SAMN07137085_METAG_JNAMCKLG,96.36
BATS_SAMN07137085_METAG_LOAJIEAD,78.53
BATS_SAMN07137085_METAG_NIGFOFIH,76.5
BATS_SAMN07137085_METAG_PHPIHKPK,75.22
BATS_SAMN07137086_METAG_CJKOCMME,94.29
BATS_SAMN07137086_METAG_DBIIEOJM,76.8
BATS_SAMN07137086_METAG_GNBHKPNE,91
BATS_SAMN07137086_METAG_HAKOLABI,83.18
BATS_SAMN07137086_METAG_HGFNHELP,77.72
BATS_SAMN07137086_METAG_HNJEHGAI,94.92
BATS_SAMN07137086_METAG_ILAJBOGK,77.38
BATS_SAMN07137086_METAG_MOCNKGHL,87.86
BATS_SAMN07137087_METAG_BBPFAGFK,85.16
BATS_SAMN07137087_METAG_BPFGOMMN,83
BATS_SAMN07137087_METAG_CDOPEKMJ,76.08
BATS_SAMN07137087_METAG_GICAJIFE,86.99
BATS_SAMN07137087_METAG_MJFPPJJK,79.8
BATS_SAMN07137088_METAG_AMNAKDDM,93.62
BATS_SAMN07137088_METAG_DMCMKNOK,80.02
BATS_SAMN07137088_METAG_FCCPHKBE,79.92
BATS_SAMN07137088_METAG_FPPDLBLC,78.84
BATS_SAMN07137088_METAG_GJOHBOPJ,78
BATS_SAMN07137088_METAG_LCMCGCNF,83.34
BATS_SAMN07137088_METAG_MJOOHEFJ,75.07
BATS_SAMN07137089_METAG_FDODAMEC,79.5
BATS_SAMN07137089_METAG_INMJCONJ,87.04
BATS_SAMN07137090_METAG_BKFFIOMG,75.64
BATS_SAMN07137090_METAG_CKHLPNPA,86.76
BATS_SAMN07137090_METAG_IBJEELNE,79.28
BATS_SAMN07137090_METAG_KNFGANLC,81.76
BATS_SAMN07137090_METAG_KONAJOAK,80.71
BATS_SAMN07137090_METAG_OEMAMEFP,75.9
BATS_SAMN07137091_METAG_BBLHOBIK,88.05
BATS_SAMN07137091_METAG_EDBAJBAA,94.48
BATS_SAMN07137091_METAG_LHOEBINA,87.34
BATS_SAMN07137091_METAG_OMNOJDCO,98.26
BATS_SAMN07137092_METAG_CHCDBIHE,76.34
BATS_SAMN07137092_METAG_HLMFKHHG,86.14
BATS_SAMN07137092_METAG_KBGJALEJ,98.26
BATS_SAMN07137092_METAG_LFPPLGME,75.89
BATS_SAMN07137092_METAG_MEKLHPJB,86.56
BATS_SAMN07137092_METAG_MLACAOKI,89.61
BATS_SAMN07137093_METAG_CAPMPJHD,76.85
BATS_SAMN07137094_METAG_GBBMEJPB,89.8
BATS_SAMN07137094_METAG_OKFBDJMM,84.09
BATS_SAMN07137095_METAG_DFBOAJHC,78.66
BATS_SAMN07137095_METAG_EHLADIOI,91.06
BATS_SAMN07137095_METAG_FIDBPDOB,83.9
BATS_SAMN07137095_METAG_ODCGBIFA,91.5
BATS_SAMN07137096_METAG_CDKGNHGG,77.33
BATS_SAMN07137096_METAG_CFFCMBMP,85.56
BATS_SAMN07137096_METAG_DDLPOOEM,81.8
BATS_SAMN07137096_METAG_ELCMKIIM,77.26
BATS_SAMN07137096_METAG_GCLCDGIG,81.81
BATS_SAMN07137096_METAG_GOOOMDDD,85.96
BATS_SAMN07137096_METAG_ODEMFOIG,85.78
BATS_SAMN07137097_METAG_HPCMMKML,81.37
BATS_SAMN07137098_METAG_EFAPGPKJ,91.1
BATS_SAMN07137098_METAG_FPGMPLOG,77.31
BATS_SAMN07137098_METAG_KDEGBFLM,88.16
BATS_SAMN07137098_METAG_KDLBKOGG,87.72
BATS_SAMN07137098_METAG_KGKGNECI,79.13
BATS_SAMN07137098_METAG_LEHDILHI,77.83
BATS_SAMN07137098_METAG_NJOKCKBL,75.42
BATS_SAMN07137098_METAG_OJBLOMEM,83.2
BATS_SAMN07137098_METAG_OMJMCNAH,88.35
BATS_SAMN07137099_METAG_DELGIJPN,84.9
BATS_SAMN07137099_METAG_FAEABNAM,78.65
BATS_SAMN07137099_METAG_JIHFNIGF,90
BATS_SAMN07137099_METAG_KBCHOIPA,84.84
BATS_SAMN07137101_METAG_BBEIIPCM,75.42
BATS_SAMN07137101_METAG_GJJNLGPH,82.76
BATS_SAMN07137101_METAG_KGHFBFFI,75.16
BATS_SAMN07137101_METAG_NKPGGILM,79.14
BATS_SAMN07137102_METAG_COMJKHCH,79.23
BATS_SAMN07137102_METAG_DBGJNEKK,84.46
BATS_SAMN07137102_METAG_EPCHDKJO,80.62
BATS_SAMN07137102_METAG_GBGGELKH,87.78
BATS_SAMN07137102_METAG_JJPKIONE,82.66
BATS_SAMN07137102_METAG_LKDFGFHA,77.61
BATS_SAMN07137102_METAG_NDIIBKGA,84.72
BATS_SAMN07137103_METAG_JCMAPCJA,85.61
BATS_SAMN07137103_METAG_LMLCFPOM,82.25
BATS_SAMN07137103_METAG_OOJALGJD,75.35
BATS_SAMN07137104_METAG_ELCLCELN,80.4
BATS_SAMN07137104_METAG_GICGIOHH,76.84
BATS_SAMN07137104_METAG_GOLPAEAE,88.43
BATS_SAMN07137104_METAG_OGPJPDLN,88.86
BATS_SAMN07137105_METAG_ABEAPGME,76.53
BATS_SAMN07137105_METAG_EEFGILKD,86.13
BATS_SAMN07137105_METAG_GAFBPDPM,82.3
BATS_SAMN07137105_METAG_GLIDHMAO,84.06
BATS_SAMN07137106_METAG_GAKCPKPJ,75.43
BATS_SAMN07137107_METAG_GMBLNFPL,88.22
BATS_SAMN07137107_METAG_JEINGAKI,85.78
BATS_SAMN07137107_METAG_JOLJABKG,86.44
BATS_SAMN07137108_METAG_JJANIGME,75.91
BATS_SAMN07137108_METAG_LBLHBODI,81.46
BATS_SAMN07137108_METAG_LKCALGPF,85.11
BATS_SAMN07137108_METAG_MNAPCDDA,88.88
BATS_SAMN07137108_METAG_ODGGCLKA,87.84
BATS_SAMN07137109_METAG_BNGANIGG,75.05
BATS_SAMN07137109_METAG_MKBELGFD,76.82
BATS_SAMN07137109_METAG_NJKCJKMO,77.22
BATS_SAMN07137110_METAG_BBJMEJCO,87.73
BATS_SAMN07137110_METAG_CPHMGCEI,76.73
BATS_SAMN07137110_METAG_EFFFKHNM,88.79
BATS_SAMN07137111_METAG_NFGPDCAG,82.42
BATS_SAMN07137112_METAG_BOBCDACC,78.14
BATS_SAMN07137112_METAG_CCOLLNJF,76.38
BATS_SAMN07137112_METAG_DACJBCCJ,81.74
BATS_SAMN07137113_METAG_CLBDPHMP,78.73
BATS_SAMN07137113_METAG_LGPOKNCD,87.94
BATS_SAMN07137113_METAG_PCFJMMFL,81.6
BATS_SAMN07137114_METAG_AICJLGGM,93.06
BATS_SAMN07137114_METAG_ANHPGLCB,93.1
BATS_SAMN07137114_METAG_HOGAHLFO,75.28
BATS_SAMN07137114_METAG_HOHGBNDP,76.98
BATS_SAMN07137114_METAG_IAJLFLPG,93.22
BATS_SAMN07137114_METAG_IHJHNPFN,84.2
BATS_SAMN07137114_METAG_IHPDCHJA,86.22
BATS_SAMN07137114_METAG_KIKBKMNC,80.66
BATS_SAMN07137114_METAG_NAKKHEDN,83.26
BATS_SAMN07137114_METAG_NELPOKOJ,84.89
BATS_SAMN07137114_METAG_OFECHDKK,75.21
BATS_SAMN07137114_METAG_OHGGAGKO,84.49
BATS_SAMN07137115_METAG_FKCHANMI,79
BATS_SAMN07137115_METAG_KBKIMBEG,75.72
BATS_SAMN07137115_METAG_KMAACGBJ,75.78
BATS_SAMN07137115_METAG_LJPOJJIE,79.24
BATS_SAMN07137115_METAG_OEHDFGFM,81.22
BATS_SAMN07137116_METAG_BIHBEDND,76.28
BATS_SAMN07137116_METAG_BNMCMBDJ,75.92
BATS_SAMN07137116_METAG_BOHODIJG,83.07
BATS_SAMN07137116_METAG_HKMJJCKM,91.28
BATS_SAMN07137116_METAG_HLJBKOAC,76.28
BATS_SAMN07137116_METAG_IJCFOOKB,79.97
BATS_SAMN07137116_METAG_KLFKCPEA,83.78
BATS_SAMN07137116_METAG_LJBNJMEK,75.6
BATS_SAMN07137116_METAG_MANDHBMJ,88.93
BATS_SAMN07137116_METAG_NBKFCJPH,83.5
BATS_SAMN07137116_METAG_OMDFKJGI,80.66
BATS_SAMN07137117_METAG_ABECOBJA,91.74
BATS_SAMN07137117_METAG_CGHCEMAO,85.29
BATS_SAMN07137117_METAG_DJAMMILK,93.85
BATS_SAMN07137117_METAG_HIBALACO,88.48
BATS_SAMN07137118_METAG_CBMPIBIJ,79.63
BATS_SAMN07137118_METAG_GCDDPGOJ,77.35
BATS_SAMN07137118_METAG_HPJDOJIB,94.53
BATS_SAMN07137118_METAG_IBMKNODB,80.72
BATS_SAMN07137118_METAG_JFDKOCDB,80.08
BATS_SAMN07137118_METAG_KHCEHCOF,76.74
BATS_SAMN07137118_METAG_KJGKHIEB,75.05
BATS_SAMN07137118_METAG_LEEHDELD,80.09
BATS_SAMN07137118_METAG_LJJDBMJI,75.08
BATS_SAMN07137119_METAG_EMCBAMKL,95.12
BATS_SAMN07137119_METAG_FDMDFKPG,80.84
BATS_SAMN07137119_METAG_GBKLLHJK,78.43
BATS_SAMN07137119_METAG_KMAJOMNB,88.67
BATS_SAMN07137119_METAG_KNPIPJJP,75.08
BATS_SAMN07137119_METAG_OHMIAKLL,79.01
BATS_SAMN07137120_METAG_AAGPIOJD,82.41
BATS_SAMN07137120_METAG_AONBANAL,81.34
BATS_SAMN07137120_METAG_ENNBOEPB,84.35
BATS_SAMN07137120_METAG_IGNAKKMM,83.11
BATS_SAMN07137120_METAG_JAMJNDDO,87.62
BATS_SAMN07137120_METAG_NGPGAKPO,75.96
BATS_SAMN07137120_METAG_PCGKLBKH,77.28
BATS_SAMN07137121_METAG_GALHLPDG,83.3
BATS_SAMN07137121_METAG_KIEFEJAA,77.84
BATS_SAMN07137121_METAG_LJEIIKKE,76
BATS_SAMN07137121_METAG_MJJLKEAI,81.83
BATS_SAMN07137121_METAG_NGCFNBHO,81.95
BATS_SAMN07137121_METAG_OHKEOHLN,88.65
BATS_SAMN07137122_METAG_KAOMBHAN,80.88
BATS_SAMN07137122_METAG_KCFJMBNL,82.86
BATS_SAMN07137122_METAG_NKCHPOFA,78.78
BATS_SAMN07137122_METAG_OPPNLALK,88.4
BATS_SAMN07137122_METAG_PIGBONJI,83.18
BATS_SAMN07137122_METAG_POMIHLNN,75.14
BATS_SAMN07137123_METAG_ANBBFANE,77.56
BATS_SAMN07137123_METAG_BMEANMDN,84.84
BATS_SAMN07137123_METAG_GNAPGJHG,89.58
BATS_SAMN07137123_METAG_IILMAHAI,79.09
BATS_SAMN07137123_METAG_IKPIDAGN,77.7
BATS_SAMN07137123_METAG_INOEJIID,79.69
BATS_SAMN07137123_METAG_IOIOCBJP,88.55
BATS_SAMN08390924_METAG_CNHABEGL,82.89
BATS_SAMN08390924_METAG_DKCBAJOE,85.98
BATS_SAMN08390924_METAG_IFALCGFJ,87.6
BATS_SAMN08390924_METAG_JMMHNNAF,76.12
BATS_SAMN08390925_METAG_BJAOANMI,81.12
BATS_SAMN08390925_METAG_CCBGODFE,82.64
BATS_SAMN08390925_METAG_CNCGJEII,81.6
BATS_SAMN08390925_METAG_CPFEIALL,81.15
BATS_SAMN08390925_METAG_DPMEKFEG,90.36
BATS_SAMN08390925_METAG_EOIDLNJP,92.08
BATS_SAMN08390925_METAG_FANDFIGG,75.8
BATS_SAMN08390925_METAG_FDOANEMM,89.49
BATS_SAMN08390925_METAG_IMBFCPHP,85.14
BATS_SAMN08390925_METAG_JBNEONHF,87.37
BATS_SAMN08390925_METAG_NOHLHIKI,92.54
BATS_SAMN08390925_METAG_NPNHKMIP,75.58
BATS_SAMN08390925_METAG_PCNPJGHG,80.37
BATS_SAMN08390925_METAG_PDJJPGJA,82.43
BATS_SAMN08390925_METAG_PGPEDNJI,80.47
BGEO_SAMN07136483_METAG_CEMEACFK,97.2
BGEO_SAMN07136484_METAG_CGMEBLGP,80.93
BGEO_SAMN07136484_METAG_DNEMNACO,88.28
BGEO_SAMN07136484_METAG_GKDMJPHI,78.63
BGEO_SAMN07136484_METAG_LCIOLPPA,88.78
BGEO_SAMN07136484_METAG_OLIAEMPN,76.19
BGEO_SAMN07136484_METAG_PJJOICPB,84.63
BGEO_SAMN07136484_METAG_PKBIAHKH,78.78
BGEO_SAMN07136485_METAG_AMMCFPAF,86.93
BGEO_SAMN07136485_METAG_BDJKAJBB,87.99
BGEO_SAMN07136485_METAG_CDFHGAFL,83.03
BGEO_SAMN07136485_METAG_DMOPGOCO,85.46
BGEO_SAMN07136485_METAG_FFGCINEC,77.82
BGEO_SAMN07136485_METAG_GKIEIKFB,83.73
BGEO_SAMN07136485_METAG_JLEANPLH,88.34
BGEO_SAMN07136485_METAG_JLOABCFG,78.64
BGEO_SAMN07136485_METAG_JNMKEODJ,89.17
BGEO_SAMN07136485_METAG_LFJGAMIH,82.38
BGEO_SAMN07136485_METAG_LHEAOIFF,75.29
BGEO_SAMN07136485_METAG_MFHLHAMG,78.22
BGEO_SAMN07136485_METAG_OFIIIPJP,79.02
BGEO_SAMN07136486_METAG_CHCEMAFJ,78.46
BGEO_SAMN07136486_METAG_FCNNBFOO,80.5
BGEO_SAMN07136486_METAG_FDFLGMFI,78.44
BGEO_SAMN07136486_METAG_FMEENCJB,91.48
BGEO_SAMN07136486_METAG_GMKGJLHL,86.36
BGEO_SAMN07136486_METAG_OCKAJNIB,87.38
BGEO_SAMN07136486_METAG_PGOLJKFJ,77.76
BGEO_SAMN07136486_METAG_PKNHFFDB,76.72
BGEO_SAMN07136487_METAG_BMJOJFFK,84.34
BGEO_SAMN07136487_METAG_DHKAAOKF,91.44
BGEO_SAMN07136487_METAG_IOBPBLHK,76.25
BGEO_SAMN07136487_METAG_JGJCOPMN,87.69
BGEO_SAMN07136487_METAG_KHBKCNPM,92.1
BGEO_SAMN07136487_METAG_NHBCDOED,77.62
BGEO_SAMN07136489_METAG_APEOGMHC,93.37
BGEO_SAMN07136489_METAG_DMKJANMI,88.06
BGEO_SAMN07136489_METAG_FDIBOOOI,80.18
BGEO_SAMN07136489_METAG_IFLGICPE,82.1
BGEO_SAMN07136489_METAG_JBPKBAMA,83.88
BGEO_SAMN07136489_METAG_PKJIJEOM,80.93
BGEO_SAMN07136490_METAG_DDCKNMGF,79.5
BGEO_SAMN07136490_METAG_MFAPHJGH,90.63
BGEO_SAMN07136491_METAG_ACDOBMKM,80.4
BGEO_SAMN07136491_METAG_CNFJCJEK,84.8
BGEO_SAMN07136491_METAG_EHDMKAAN,76.12
BGEO_SAMN07136491_METAG_MGHDMLPD,84.52
BGEO_SAMN07136491_METAG_MILFNBFN,75.66
BGEO_SAMN07136491_METAG_PKPIKKJD,78
BGEO_SAMN07136492_METAG_AFGJNMAI,76.53
BGEO_SAMN07136492_METAG_AHHHHOOF,84.88
BGEO_SAMN07136492_METAG_AOONLJII,79.61
BGEO_SAMN07136492_METAG_CLOPILHJ,85.91
BGEO_SAMN07136492_METAG_ENPGIJIN,88.65
BGEO_SAMN07136492_METAG_EPDPDGPD,82.77
BGEO_SAMN07136492_METAG_HAKJFBNG,86.04
BGEO_SAMN07136492_METAG_HFHHPMOF,83.52
BGEO_SAMN07136492_METAG_JBPIEDDC,82.08
BGEO_SAMN07136492_METAG_MEEGAIAC,86.78
BGEO_SAMN07136492_METAG_MPAAMFAL,85.01
BGEO_SAMN07136492_METAG_NGGNHLOC,80.89
BGEO_SAMN07136493_METAG_AIDHIPJC,96.86
BGEO_SAMN07136493_METAG_BGLPFNCA,90.31
BGEO_SAMN07136493_METAG_BHMEMFGD,86.38
BGEO_SAMN07136493_METAG_CIKIKOML,77.73
BGEO_SAMN07136493_METAG_EGGCIPPG,77.25
BGEO_SAMN07136493_METAG_PEBLIEMP,76.14
BGEO_SAMN07136493_METAG_PHMGHAPM,84.9
BGEO_SAMN07136493_METAG_PKMGCOPL,85.62
BGEO_SAMN07136493_METAG_POEHAFDM,81.21
BGEO_SAMN07136494_METAG_BFPKHHID,82.08
BGEO_SAMN07136494_METAG_BKHJKFDD,94.97
BGEO_SAMN07136494_METAG_KNPPKEJO,80.53
BGEO_SAMN07136494_METAG_LIAONDLL,77.66
BGEO_SAMN07136494_METAG_MLNFGMAP,84.72
BGEO_SAMN07136494_METAG_OEOBEHEL,76.85
BGEO_SAMN07136494_METAG_OJIAIAMA,89.98
BGEO_SAMN07136494_METAG_PHCODDJM,84.74
BGEO_SAMN07136495_METAG_FBNCNBJH,78.8
BGEO_SAMN07136495_METAG_GCHAGJGF,90.01
BGEO_SAMN07136495_METAG_HAOJEANB,94.98
BGEO_SAMN07136495_METAG_IMHMJFIJ,87.62
BGEO_SAMN07136495_METAG_KACDKIOA,84.18
BGEO_SAMN07136495_METAG_PHNNELEB,86.34
BGEO_SAMN07136496_METAG_AOHMHFOD,88.43
BGEO_SAMN07136496_METAG_CLOKMFDH,81.3
BGEO_SAMN07136496_METAG_CNMHNMCO,75.3
BGEO_SAMN07136496_METAG_FNIIHAMH,78.14
BGEO_SAMN07136496_METAG_KNFCOMML,82.16
BGEO_SAMN07136496_METAG_MANICBHN,75.86
BGEO_SAMN07136496_METAG_NAJLEHLF,93.93
BGEO_SAMN07136496_METAG_ONBPPOJM,94.84
BGEO_SAMN07136496_METAG_ONMGIHGA,75.36
BGEO_SAMN07136497_METAG_EOMHGFFA,84.48
BGEO_SAMN07136497_METAG_MMHFEPLI,88
BGEO_SAMN07136498_METAG_BPIIFCCP,81.98
BGEO_SAMN07136499_METAG_DGMNPCJN,77
BGEO_SAMN07136499_METAG_MPPEKEIB,79.99
BGEO_SAMN07136500_METAG_BAKADOJK,86.54
BGEO_SAMN07136501_METAG_IHNDJIPN,84.26
BGEO_SAMN07136501_METAG_MJPLLFLH,77.96
BGEO_SAMN07136502_METAG_KLPDNKII,81.74
BGEO_SAMN07136502_METAG_NIPPCMPM,83.4
BGEO_SAMN07136502_METAG_OJHKHPDO,75.08
BGEO_SAMN07136503_METAG_KKDACFJC,82.14
BGEO_SAMN07136504_METAG_IGPBDNOC,76.6
BGEO_SAMN07136504_METAG_NCCEDIOM,89.63
BGEO_SAMN07136505_METAG_BPIECALF,99.42
BGEO_SAMN07136505_METAG_CKODNIJG,83.96
BGEO_SAMN07136505_METAG_MNABAJAN,88.39
BGEO_SAMN07136506_METAG_HDNAHBGO,85.46
BGEO_SAMN07136506_METAG_HJDNMMLC,77.11
BGEO_SAMN07136506_METAG_MFOKHCIE,80.9
BGEO_SAMN07136506_METAG_MGPBFLBL,94.62
BGEO_SAMN07136506_METAG_NCABPLKN,88.73
BGEO_SAMN07136507_METAG_EJPJJOIH,75.44
BGEO_SAMN07136507_METAG_JCDJIDOL,92.84
BGEO_SAMN07136507_METAG_NAJFPCKG,97.93
BGEO_SAMN07136507_METAG_PBEIOKFB,82.68
BGEO_SAMN07136508_METAG_IIGDKJKF,80.68
BGEO_SAMN07136508_METAG_IKAEBNMO,79.08
BGEO_SAMN07136509_METAG_AHBFBDKE,89.59
BGEO_SAMN07136509_METAG_BKDGCBPN,92.16
BGEO_SAMN07136509_METAG_DMLBHAMI,81.33
BGEO_SAMN07136509_METAG_HBPEPHJF,75.89
BGEO_SAMN07136509_METAG_IFEKDOKC,84.28
BGEO_SAMN07136509_METAG_KPKHFKKH,86.03
BGEO_SAMN07136509_METAG_MFAJGBID,75.53
BGEO_SAMN07136509_METAG_NJBHFFJN,79.52
BGEO_SAMN07136510_METAG_BEIAAODB,81.6
BGEO_SAMN07136510_METAG_OHCONFGL,78.26
BGEO_SAMN07136511_METAG_BEIMJHAK,77.49
BGEO_SAMN07136511_METAG_BNHMELGK,81.06
BGEO_SAMN07136511_METAG_EOHJBMBP,76.01
BGEO_SAMN07136511_METAG_JKJKBMPE,99.5
BGEO_SAMN07136511_METAG_LGBFPBKJ,81.5
BGEO_SAMN07136512_METAG_CNGLEEEK,83.92
BGEO_SAMN07136512_METAG_DLOLLNKF,78.5
BGEO_SAMN07136512_METAG_HAFJDBFF,91.98
BGEO_SAMN07136512_METAG_JNDIEELA,76.43
BGEO_SAMN07136512_METAG_MKIHHOBJ,78.78
BGEO_SAMN07136513_METAG_HIAFKDFL,76.88
BGEO_SAMN07136516_METAG_BKLEJHFN,78.08
BGEO_SAMN07136516_METAG_BNBKOHOM,76.06
BGEO_SAMN07136516_METAG_CCJJNHEM,78.5
BGEO_SAMN07136516_METAG_CKMOIMIM,96.24
BGEO_SAMN07136516_METAG_MCMFLDKK,81.58
BGEO_SAMN07136516_METAG_PJPKLPPG,89.85
BGEO_SAMN07136517_METAG_HJDFKLOJ,87.22
BGEO_SAMN07136517_METAG_OCJEHNKF,94.21
BGEO_SAMN07136517_METAG_PBEJMGKI,85.65
BGEO_SAMN07136517_METAG_PPGDMJGO,75.13
BGEO_SAMN07136518_METAG_ECAIMBFI,81.24
BGEO_SAMN07136520_METAG_KIHMBBII,96.9
BGEO_SAMN07136521_METAG_EHJMFPFP,81.38
BGEO_SAMN07136521_METAG_GBKHBAMI,81.56
BGEO_SAMN07136521_METAG_GGKGJAFI,92.82
BGEO_SAMN07136521_METAG_GOLLJHHB,76.47
BGEO_SAMN07136521_METAG_MIFBNLBO,76.05
BGEO_SAMN07136522_METAG_BEHDDPME,77.84
BGEO_SAMN07136522_METAG_IIKKJPIE,86.44
BGEO_SAMN07136522_METAG_POCBOMEA,95.98
BGEO_SAMN07136523_METAG_APAOEKCM,82.39
BGEO_SAMN07136523_METAG_CHAJOAGH,97.82
BGEO_SAMN07136523_METAG_ICIGLONB,83.06
BGEO_SAMN07136523_METAG_IKJKMCAK,80.55
BGEO_SAMN07136523_METAG_JHDPPFAH,94.36
BGEO_SAMN07136523_METAG_JPILPLHL,80.63
BGEO_SAMN07136523_METAG_KDAPLJDD,83.6
BGEO_SAMN07136523_METAG_NAOEEIJK,77.59
BGEO_SAMN07136523_METAG_NMOKDPNF,87.88
BGEO_SAMN07136523_METAG_OCPOPADH,92.46
BGEO_SAMN07136523_METAG_PEMLLCLE,96.94
BGEO_SAMN07136525_METAG_HJDAGALH,82.81
BGEO_SAMN07136525_METAG_OMDPOGEL,80.35
BGEO_SAMN07136526_METAG_GGECEPEP,78.3
BGEO_SAMN07136528_METAG_CBKCJBEG,84.06
BGEO_SAMN07136528_METAG_DDGGMICJ,77.22
BGEO_SAMN07136528_METAG_OKPNFCMF,78.33
BGEO_SAMN07136530_METAG_BPDOAABO,82.54
BGEO_SAMN07136531_METAG_DFBPICDD,90.08
BGEO_SAMN07136531_METAG_OPCEJLDA,84.86
BGEO_SAMN07136532_METAG_CPBKMAPB,86.43
BGEO_SAMN07136532_METAG_GABOMKOM,85.21
BGEO_SAMN07136532_METAG_OBEPMGGG,86.46
BGEO_SAMN07136532_METAG_OPALKCJL,83.57
BGEO_SAMN07136533_METAG_JHCKPFNB,85.78
BGEO_SAMN07136533_METAG_KFOLOMMH,75.84
BGEO_SAMN07136533_METAG_PKDEPLCN,79.85
BGEO_SAMN07136534_METAG_IPLHGINJ,87.34
BGEO_SAMN07136534_METAG_NHMLMPAN,76.46
BGEO_SAMN07136534_METAG_PKNKBFOO,85.26
BGEO_SAMN07136535_METAG_GJJDEKFF,79.59
BGEO_SAMN07136536_METAG_MDEPFBJJ,78.75
BGEO_SAMN07136537_METAG_FOACPPDI,82.72
