"","Genome","Cysteine.Biosynthesis","SO4thiosulfate.transporter","Methionine.Synthesis","Methionine.Transport","Cysteine.Degradation","Methionine.Degradation","Methionine.Salvage.Part.1","Methionine.Salvage.Part.2","Methionine.Salvage.Fusion.Enzyme","Methionine.Salvage.Anaerobic.Isoprenoid.Shunt","Methionine.Salvage.Anaerobic.Degradation.of.MTRu1P","Methionine...N.Acyl.L.homoserine.lactone","Glutathione.Synthesis","Glutathione.Transporter","DHPS.Transporter","DHPS.Degradation","DMSP.degradation","Taurine.Transport","Taurine.Degradation","Hypotaurine.Degradation","Isethionate.Transport","N.acetyltaurine.Transport","DOS.Misc.Degradation.2","DOS.Misc.Degradation.3","DOS.Misc.Degradation.4","Choline.O.sulfate.Degradation","Choline.O.sulfate.Transport","Cysteate.Degradation","Biotin.Transport","Biotin.Degradation","Coenzyme.A.Degradation","Methanethiol.Degradation","Methanethiol.Synthesis","X3.Mercaptopyruvate.Degradation","Glutathione.disulfide.degradation.and.synthesis","Dimethylsulfoxide.Degradation","Dimethylsulfone.Degradation","Methanesulfonate.Degradation","Sulfolactate.degradation","Sulfopyruvate.Degradation","Sulfoacetaldehyde.Degradation","S.adenosyl.L.homocysteine.degradation"
"MARD_SAMN10373778_REFG_MMP10373778","MARD_SAMN10373778_REFG_MMP10373778",1,0,1,0,1,1,0.6,0,0,0.666666666666667,1,0,0.5,0,0,0,1,0,1,1,0,1,1,0,1,0.666666666666667,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN03999384_REFG_MMP03999384","MARD_SAMN03999384_REFG_MMP03999384",1,0,1,1,1,1,0.8,0.2,0,0.666666666666667,1,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
"MARD_SAMD00042842_REFG_MMP00042842","MARD_SAMD00042842_REFG_MMP00042842",1,1,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,1,0,0,1,0,0,0,0,0,0,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN09508721_REFG_MMP09508721","MARD_SAMN09508721_REFG_MMP09508721",1,0,1,1,1,1,0.8,0.2,0,0.666666666666667,1,0,0.5,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMN03729478_REFG_MMP03729478","MARD_SAMN03729478_REFG_MMP03729478",1,0,1,0,1,1,0.6,0,0,0.666666666666667,1,0,0.5,0,0,0,1,0,1,1,0,1,1,0,1,0.666666666666667,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMD00023549_REFG_MMP00023549","MARD_SAMD00023549_REFG_MMP00023549",1,1,1,1,1,1,1,0.75,0,0.666666666666667,1,0,0.5,1,0,0,1,1,1,1,0,1,1,0,0,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN10141419_REFG_MMP10141419","MARD_SAMN10141419_REFG_MMP10141419",1,0,1,1,1,1,0.8,0.2,0,0.666666666666667,1,0,0.5,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMD00129508_REFG_MMP00129508","MARD_SAMD00129508_REFG_MMP00129508",1,0,1,1,1,1,0.8,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
"MARD_SAMN09508719_REFG_MMP09508719","MARD_SAMN09508719_REFG_MMP09508719",1,0,1,1,1,1,0.8,0.2,0,0.666666666666667,1,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMN09786811_REFG_MMP09786811","MARD_SAMN09786811_REFG_MMP09786811",1,1,1,0,1,1,0.333333333333333,0,0,0.666666666666667,1,0,0.5,0,0,0,1,0,1,1,0,1,1,0,1,0.666666666666667,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN03999371_REFG_MMP03999371","MARD_SAMN03999371_REFG_MMP03999371",1,0,1,1,1,1,0.8,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,0,1,1,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
"MARD_SAMN10276034_REFG_MMP10276034","MARD_SAMN10276034_REFG_MMP10276034",1,0,1,1,1,1,0.8,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"TARA_SAMEA2621033_METAG_KKHCHOLN","TARA_SAMEA2621033_METAG_KKHCHOLN",1,0,1,0,1,1,1,0.6,0,0.333333333333333,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0.333333333333333,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1
"MARD_SAMN07811444_REFG_MMP07811444","MARD_SAMN07811444_REFG_MMP07811444",1,1,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,1,0,0,1,0,0,0,0,1,0,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN04488481_REFG_MMP04488481","MARD_SAMN04488481_REFG_MMP04488481",1,0,1,1,1,1,0.5,0,0,0.666666666666667,1,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN04487806_REFG_MMP04487806","MARD_SAMN04487806_REFG_MMP04487806",1,1,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,0,0,1,1,1,1,1,0,1,1,0,1,0.333333333333333,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMN04026262_REFG_MMP04026262","MARD_SAMN04026262_REFG_MMP04026262",1,0,1,0,1,1,0.8,0.2,0,0.666666666666667,1,0,0.5,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMN05216266_REFG_MMP05216266","MARD_SAMN05216266_REFG_MMP05216266",1,0,1,0,1,1,0.8,0.2,0,0.666666666666667,1,0,0.5,1,1,1,1,1,1,1,1,1,1,0,1,0.666666666666667,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMN05421803_REFG_MMP05421803","MARD_SAMN05421803_REFG_MMP05421803",1,0,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,1,1,0,1,1,0,0,1,1,1,0,1,0.666666666666667,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1
"TARA_SAMEA2622119_METAG_JEJNGPMI","TARA_SAMEA2622119_METAG_JEJNGPMI",1,1,1,1,1,1,1,0.75,0,0.666666666666667,0,0,0.5,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"TARA_SAMN05326645_METAG_PSE00016","TARA_SAMN05326645_METAG_PSE00016",1,1,1,1,1,1,1,0.75,0,0.666666666666667,0,0,0.5,0,1,0,1,0,1,1,1,1,1,0,1,0.333333333333333,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
"MARD_SAMN04026261_REFG_MMP04026261","MARD_SAMN04026261_REFG_MMP04026261",1,0,1,0,1,1,0.8,0.2,0,0.666666666666667,1,0,0.5,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMD00017647_REFG_MMP00017647","MARD_SAMD00017647_REFG_MMP00017647",1,0,1,1,1,1,0.8,0.2,0,0.333333333333333,1,0,0.5,1,1,0,1,0,0,0,1,1,1,0,1,0.666666666666667,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN04495211_REFG_MMP04495211","MARD_SAMN04495211_REFG_MMP04495211",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,1,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMN09786826_REFG_MMP09786826","MARD_SAMN09786826_REFG_MMP09786826",1,0,1,0,1,1,0.6,0,0,0.666666666666667,1,0,0.5,0,0,0,1,0,1,1,0,1,1,0,1,0.666666666666667,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN05216284_REFG_MMP05216284","MARD_SAMN05216284_REFG_MMP05216284",1,0,1,0,1,1,0.4,0,0,0.666666666666667,1,0,0.5,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMN03729480_REFG_MMP03729480","MARD_SAMN03729480_REFG_MMP03729480",1,0,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,1,0,0,1,0,1,0,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422175_METAG_JCAGPLKC","MALA_SAMN05422175_METAG_JCAGPLKC",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422140_METAG_KDGIOPII","MALA_SAMN05422140_METAG_KDGIOPII",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422189_METAG_KDFHKFLA","MALA_SAMN05422189_METAG_KDFHKFLA",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422133_METAG_FOGKKEHN","MALA_SAMN05422133_METAG_FOGKKEHN",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05421913_METAG_LICMHBMD","MALA_SAMN05421913_METAG_LICMHBMD",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422120_METAG_CMDEFOFJ","MALA_SAMN05422120_METAG_CMDEFOFJ",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422113_METAG_HCMEOPMD","MALA_SAMN05422113_METAG_HCMEOPMD",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422165_METAG_CHJKKJPH","MALA_SAMN05422165_METAG_CHJKKJPH",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05421555_METAG_IJMJPABA","MALA_SAMN05421555_METAG_IJMJPABA",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05421697_METAG_LIEFMPLO","MALA_SAMN05421697_METAG_LIEFMPLO",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422153_METAG_ANPKIMNM","MALA_SAMN05422153_METAG_ANPKIMNM",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422137_METAG_DPJCFKJG","MALA_SAMN05422137_METAG_DPJCFKJG",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422127_METAG_BMMMIACD","MALA_SAMN05422127_METAG_BMMMIACD",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMN05897984_REFG_MMP05897984","MARD_SAMN05897984_REFG_MMP05897984",1,1,1,1,1,1,0.4,0.2,0,0.666666666666667,0,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMEA2271987_REFG_MMP2271987","MARD_SAMEA2271987_REFG_MMP2271987",1,1,1,1,1,1,0.4,0.2,0,0.333333333333333,1,0,0.5,1,0,0,1,0,1,1,0,1,1,0,1,0.666666666666667,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1
"MARD_SAMN05897974_REFG_MMP05897974","MARD_SAMN05897974_REFG_MMP05897974",1,1,1,1,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,1,1,1,0,0,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMN02470933_REFG_MMP02470933","MARD_SAMN02470933_REFG_MMP02470933",1,0,1,1,1,0.333333333333333,1,1,0.5,0.666666666666667,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0.333333333333333,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0
"MALA_SAMN05422115_METAG_ECLHGDNH","MALA_SAMN05422115_METAG_ECLHGDNH",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMN05017772_REFG_MMP05017772","MARD_SAMN05017772_REFG_MMP05017772",1,0,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMEA3297057_REFG_MMP3297057","MARD_SAMEA3297057_REFG_MMP3297057",1,1,1,0,1,1,0.5,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMEA4707922_REFG_MMP4707922","MARD_SAMEA4707922_REFG_MMP4707922",1,0,1,0,1,1,1,0.75,0,0.666666666666667,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
"MARD_SAMN05792885_REFG_MMP05792885","MARD_SAMN05792885_REFG_MMP05792885",1,0,1,1,1,1,0.8,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.666666666666667,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
"MALA_SAMN05422148_METAG_CKCFHHDP","MALA_SAMN05422148_METAG_CKCFHHDP",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MALA_SAMN05421697_METAG_FKHHNDDA","MALA_SAMN05421697_METAG_FKHHNDDA",1,0,1,0,1,1,1,0.2,0,0.666666666666667,0,0,0.5,0,1,0,1,0,1,0,1,1,1,0,0,0.333333333333333,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
"TARA_SAMN05326645_METAG_PSE00037","TARA_SAMN05326645_METAG_PSE00037",1,0,1,0,1,1,1,0.5,0,0.333333333333333,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0.333333333333333,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"MARD_SAMN07311721_REFG_MMP07311721","MARD_SAMN07311721_REFG_MMP07311721",1,0,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
"MARD_SAMN05897979_REFG_MMP05897979","MARD_SAMN05897979_REFG_MMP05897979",1,1,1,1,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMN05897987_REFG_MMP05897987","MARD_SAMN05897987_REFG_MMP05897987",1,1,1,1,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMN05897988_REFG_MMP05897988","MARD_SAMN05897988_REFG_MMP05897988",1,1,1,1,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMN05898003_REFG_MMP05898003","MARD_SAMN05898003_REFG_MMP05898003",1,1,1,1,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMN05444487_REFG_MMP05444487","MARD_SAMN05444487_REFG_MMP05444487",1,0,1,1,1,1,0.833333333333333,0,0,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0.333333333333333,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
"MARD_SAMN05897977_REFG_MMP05897977","MARD_SAMN05897977_REFG_MMP05897977",1,1,1,1,1,1,0.6,0.2,0,0.666666666666667,0,0,0.5,1,0,0,1,0,1,1,0,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1
"MARD_SAMEA3146264_REFG_MMP3146264","MARD_SAMEA3146264_REFG_MMP3146264",1,0,1,0,1,1,0.4,0.4,0,0.333333333333333,0,0,0.5,0,1,0,0,0,0,0,1,1,1,0,0,0.333333333333333,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1
"MARD_SAMEA3146263_REFG_MMP3146263","MARD_SAMEA3146263_REFG_MMP3146263",1,0,1,0,1,1,0.6,0.2,0,0.333333333333333,0,0,0.5,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1
"MARD_SAMN08384890_REFG_MMP08384890","MARD_SAMN08384890_REFG_MMP08384890",1,0,1,0,1,1,0.6,0.2,0,0.666666666666667,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
"MARD_SAMD00046775_REFG_MMP00046775","MARD_SAMD00046775_REFG_MMP00046775",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,0,1,0,0,0,1,0,1,0.666666666666667,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMN04999933_REFG_MMP04999933","MARD_SAMN04999933_REFG_MMP04999933",1,0,1,0,1,0.333333333333333,1,0.75,0,0.333333333333333,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0.333333333333333,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0
"MARD_SAMN05421806_REFG_MMP05421806","MARD_SAMN05421806_REFG_MMP05421806",1,0,1,1,1,1,0.8,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1
"TARA_SAMEA2622658_METAG_CHOAGAJB","TARA_SAMEA2622658_METAG_CHOAGAJB",1,0,1,0,1,1,1,0.75,0,0.333333333333333,1,1,0.5,0,1,0,1,0,0,0,1,0,1,0,1,0.333333333333333,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
"TARA_SAMEA2623673_METAG_INBBCOBA","TARA_SAMEA2623673_METAG_INBBCOBA",1,0,1,0,1,1,1,0.75,0,0.333333333333333,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0.333333333333333,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1
"TARA_SAMEA2622119_METAG_PPKCDGLG","TARA_SAMEA2622119_METAG_PPKCDGLG",1,0,1,0,1,1,0.8,0.5,0,0.333333333333333,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0.333333333333333,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"MALA_SAMN05422189_METAG_HFLHJDGN","MALA_SAMN05422189_METAG_HFLHJDGN",1,0,1,0,1,0.666666666666667,0.666666666666667,0.2,0,0.666666666666667,0,0,0.5,0,1,0,1,0,1,0,1,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
"MALA_SAMN05422147_METAG_DIMFAPIO","MALA_SAMN05422147_METAG_DIMFAPIO",1,1,1,0,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,0,0,1,0,0,1,1,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1
"MARD_SAMD00056695_REFG_MMP00056695","MARD_SAMD00056695_REFG_MMP00056695",1,1,1,1,1,1,0.6,0.2,0,0.333333333333333,1,0,0.5,0,0,0,1,1,1,1,0,1,0,0,1,0.333333333333333,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1
"MARD_SAMN05375008_REFG_MMP05375008","MARD_SAMN05375008_REFG_MMP05375008",1,0,1,1,1,0.666666666666667,1,1,0.5,0.666666666666667,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0.333333333333333,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
"MARD_SAMN05897982_REFG_MMP05897982","MARD_SAMN05897982_REFG_MMP05897982",1,1,1,1,1,1,0.4,0.2,0,0.333333333333333,0,0,0.5,0,0,0,1,1,1,1,0,1,1,0,1,0.333333333333333,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1
"MARD_SAMEA3146296_REFG_MMP3146296","MARD_SAMEA3146296_REFG_MMP3146296",1,0,1,0,1,1,0.6,0.25,0,0,0,0,0.5,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1
"MARD_SAMN02436107_REFG_MMP02436107","MARD_SAMN02436107_REFG_MMP02436107",1,0,1,0,1,1,1,0.75,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
