"","Step1:K00812","Step1:K00813","Step1:K11358","Step1:K14454","Step1:K00811","Step1:K14455","Step2:K17950","Step3:K05884","Step4:K16845","Step4:K16846"
"TARA_SAMN05326645_METAG_PSE00010",1,0,0,0,0,0,0,0,1,1
"TARA_SAMN05326646_METAG_PSW00020",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09245781_REFG_MMP09245781",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN07424250_REFG_MMP07424250",1,0,0,0,0,0,1,0,0,0
"MARD_SAMN08225564_REFG_MMP08225564",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN08886618_SAGS_MMP08886618",0,0,0,0,0,0,0,0,0,0
"MARD_SAMEA4034450_REFG_MMP4034450",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02745724_REFG_MMP02745724",0,1,0,0,0,0,1,0,0,0
"MARD_SAMN03084138_REFG_MMP03084138",0,1,0,0,0,0,1,0,1,1
"MARD_SAMN04957307_REFG_MMP04957307",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN05818643_REFG_MMP05818643",1,0,0,0,0,0,1,0,0,0
"MARD_SAMN02436112_REFG_MMP02436112",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN02436160_REFG_MMP02436160",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN06265352_REFG_MMP06265352",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN08783578_REFG_MMP08783578",1,0,0,0,0,0,0,0,1,1
"MARD_SAMN08918501_REFG_MMP08918501",1,1,0,0,0,0,0,0,0,0
"MARD_SAMN09932323_REFG_MMP09932323",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN10134656_REFG_MMP10134656",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09273368_REFG_MMP09273368",1,0,0,0,0,0,1,0,0,0
"MARD_SAMN10231958_REFG_MMP10231958",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN10231959_REFG_MMP10231959",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN05444149_REFG_MMP05444149",1,1,0,0,0,0,0,0,0,0
"MARD_SAMEA3522225_REFG_MMP3522225",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN09684733_REFG_MMP09684733",1,1,0,0,0,0,0,0,0,0
"MARD_SAMN09989090_REFG_MMP09989090",1,0,0,0,0,0,0,0,1,1
"MARD_SAMN04488239_REFG_MMP04488239",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN05418027_REFG_MMP05418027",0,1,0,0,0,0,1,0,1,1
"MARD_SAMN05418031_REFG_MMP05418031",0,1,0,0,0,0,1,0,1,1
"MARD_SAMN05418073_REFG_MMP05418073",0,1,0,0,0,0,1,0,1,1
"MARD_SAMN08324238_REFG_MMP08324238",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN08912470_REFG_MMP08912470",1,0,0,0,0,0,1,0,0,0
"TARA_SAMEA4396941_METAG_IJEMMHFI",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4396941_METAG_CLEKMJLB",0,0,0,0,0,0,1,0,0,0
"TARA_SAMEA4397174_METAG_EGMDODDO",0,1,0,0,0,0,0,0,0,0
"TARA_SAMEA2622843_METAG_BIKJDDKO",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4396489_METAG_KKGDMKHA",1,0,0,0,0,0,0,1,1,1
"TARA_SAMEA4397295_METAG_NFMMNHJF",0,1,0,0,0,0,0,0,0,0
"TARA_SAMEA4397295_METAG_PFKAPFFD",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2621107_METAG_NAIODLKO",1,1,0,0,0,0,1,0,0,0
"TARA_SAMEA4397409_METAG_LIEEABDB",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4396515_METAG_COJOLNON",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2619815_METAG_NCFDDDLL",0,1,0,0,0,0,0,0,0,0
"TARA_SAMEA2623403_METAG_OKECKDIK",1,1,0,0,0,0,1,0,0,0
"TARA_SAMEA4397023_METAG_NKKALNMO",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4397536_METAG_KCPGCKGA",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4397536_METAG_DNIJMCBI",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2620227_METAG_PONKEPAI",0,1,0,0,0,0,0,0,0,0
"TARA_SAMEA4397051_METAG_BDIOPMOI",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2620812_METAG_HIEKJCAB",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398360_METAG_MKMJPMHD",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622738_METAG_EAPOPCAE",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398432_METAG_IFLIFCAK",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4398432_METAG_EGCBDMCB",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4397586_METAG_MLANKLIE",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2620967_METAG_GMOMFAHB",1,1,0,0,0,0,1,0,0,0
"TARA_SAMEA2621502_METAG_LEDOHCBM",1,1,0,0,0,0,1,0,0,0
"TARA_SAMEA4396988_METAG_MGOBBFJM",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2621191_METAG_JOABIJEI",1,1,0,0,0,0,1,0,0,0
"TARA_SAMEA4397118_METAG_BHLMNNKI",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623327_METAG_OLEOKFCD",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623327_METAG_CFOJFPKH",1,1,0,0,0,0,1,0,0,0
"TARA_SAMEA4397255_METAG_PFEJDDLC",0,0,0,0,0,0,0,1,0,0
"TARA_SAMEA4398001_METAG_BPLHNGEK",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA4397747_METAG_KPKGLEOG",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2621075_METAG_HPFDGDJD",0,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2622801_METAG_LKEPJGOM",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623463_METAG_GNOAPNFG",1,0,1,0,0,0,0,0,0,0
"TARA_SAMEA2622923_METAG_DNGLHAAI",1,0,0,0,0,0,1,0,0,0
"TARA_SAMEA2621812_METAG_MDDNJKEB",1,0,0,0,0,0,0,0,0,0
"TARA_SAMEA2623350_METAG_CMMNJGMG",0,0,0,0,0,0,0,0,0,0
"BGEO_SAMN07136582_METAG_BIALDHBO",1,0,0,0,0,0,1,0,1,1
"BGEO_SAMN07136617_METAG_FKHCGNDB",1,0,0,0,0,0,1,0,1,1
"BGEO_SAMN07136489_METAG_APEOGMHC",1,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422133_METAG_MPCMMFBL",1,1,0,0,0,0,1,0,0,0
"MALA_SAMN05422148_METAG_IFLPOAIP",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422120_METAG_DPNIGCJC",0,0,0,0,0,0,0,0,0,0
"MALA_SAMN05422113_METAG_GJFPJHHK",1,1,0,0,0,0,1,0,0,0
"TARA_SAMN05326646_METAG_PSW00026",1,0,0,0,0,0,1,0,0,0
"TARA_SAMN05326648_METAG_IOS00013",1,0,0,0,0,0,1,0,1,1
"TARA_SAMN05326641_METAG_ANW00019",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN08886394_SAGS_MMP08886394",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09510546_REFG_MMP09510546",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN06644953_REFG_MMP06644953",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN08378603_REFG_MMP08378603",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN08886582_SAGS_MMP08886582",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN08886585_SAGS_MMP08886585",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN08886603_SAGS_MMP08886603",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN08886659_SAGS_MMP08886659",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN08944605_REFG_MMP08944605",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN04965930_REFG_MMP04965930",1,1,0,0,0,0,0,0,0,0
"MARD_SAMN04965932_REFG_MMP04965932",1,1,0,0,0,0,0,0,0,0
"MARD_SAMN04965934_REFG_MMP04965934",1,1,0,0,0,0,0,0,0,0
"MARD_SAMD00000390_REFG_MMP00000390",0,0,0,0,0,0,0,0,0,0
"MARD_SAMD00006053_REFG_MMP00006053",0,0,0,0,0,0,0,0,0,0
"MARD_SAMN02436139_REFG_MMP02436139",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02436141_REFG_MMP02436141",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02436150_REFG_MMP02436150",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN02436154_REFG_MMP02436154",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN06265372_REFG_MMP06265372",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN09721247_REFG_MMP09721247",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09914392_REFG_MMP09914392",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN10130764_REFG_MMP10130764",1,0,0,0,0,0,1,0,0,0
"MARD_SAMD00112194_REFG_MMP00112194",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN02927983_REFG_MMP02927983",1,0,0,0,0,0,0,0,0,0
"MARD_SAMN09245960_REFG_MMP09245960",1,0,0,0,0,0,1,0,0,0
"MARD_SAMN09517646_REFG_MMP09517646",1,0,0,0,0,0,1,0,0,0
"MARD_SAMN09522134_REFG_MMP09522134",1,1,0,0,0,0,1,0,0,0
"MARD_SAMN09637267_REFG_MMP09637267",0,1,0,0,0,0,0,0,0,0
"MARD_SAMN10172232_REFG_MMP10172232",1,0,0,0,0,0,0,1,0,0
"MARD_SAMEA4520406_REFG_MMP4520406",0,1,0,0,0,0,0,0,0,0
"MARD_SAMEA4520407_REFG_MMP4520407",0,1,0,0,0,0,0,0,0,0
"MARD_SAMEA4520408_REFG_MMP4520408",0,1,0,0,0,0,0,0,0,0
"MARD_SAMEA4520409_REFG_MMP4520409",0,1,0,0,0,0,0,0,0,0
