Pathway Number,Metabolite,Broad pathway description,Oxidation State,"Kind of Metabolism (Synthesis, Degradation, Transport)",Step,StepName,Enzyme,Step description,Name,Definition,KEGG Reaction,KEGG Enzyme,KO,Category of Metabolism,Gene,EnzymeName,Diagnostic,DeltaGm,DeltaG0,ATP Requirement,ATP Creation,O2 Requirement,NAD+/NADP+ Req.,NADH/NADPH Requirement,FAD Req.,FADH2 Requirement,Notes
3,Cysteine,Cysteine Biosynthesis,-2,,1,,3,,,,R00586,2.3.1.30,K19726,,dcsE,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,2,,1,,,,R00897,2.5.1.47,K01738,,cysK,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,2,,2,,,,R00897,2.5.1.47,K13034,,atcysC1,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,2,,3,,,,R00897,2.5.1.47,K17069,,met17,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,2,,1,,,,R00897,2.5.1.47,K10150,,cysO,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,2,,2,,,,R00897,2.5.1.47,K19725,,dcsD,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,3,,1,,,,R01290,4.2.1.22,K10150,,cysO,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,3,,2,,,,R01290,4.2.1.22,K01697,,cbs,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,4,,1,,,,R10305,2.5.1.134,K17216,,mccA,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,5,,1,,,,R01001,4.4.1.1,K01758,,cth,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,5,,2,,,,R01001,4.4.1.1,K17217,,mccB,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,6,,1,,,,R00177,2.5.1.6,K00789,,metK,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,7,,1,,,,R10404,2.1.1.-,K17462,,yrrT,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,8,,1,,,,R00194,3.2.2.9,K01243,,mtnN,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,8,,2,,,,R00194,3.2.2.9,K18284,,mtnN1,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,9,,1,,,,R01291,4.4.1.21,K07173,,luxS,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,10,,1,,,,R08576,6.1.1.27,K07587,,sepRS,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,11,,1,,,,R08577,2.5.1.73,K06868,,sepcysS,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,12,,1,,,,R04238,3.1.1.29,K01056,,pth,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,12,,2,,,,R04238,3.1.1.29,K04794,,pth2,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,12,,3,,,,R04238,3.1.1.29,K05969,,ptrhd1,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,12,,4,,,,R04238,3.1.1.29,K15033,,ict1,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,13,,1,,,,R10610,2.5.1.113,K21148,,cysM,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,14,,1,,,,R11524,3.13.1.6,K21140,,mec,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,15,,1,,,,R03132,2.5.1.144,K12339,,cysM1,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,15,,2,,,,R03132,2.5.1.144,K22846,,cs26,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,16,,1,,,,R12342,2.7.1.226,K23370,,serK,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,17,,1,,,,R07274,2.5.1.65,K10150,,cysO,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,18,,1,,,,R01513,1.1.1.95,K00058,,serA,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,19,,1,,,,R04173,2.6.1.52,K00831,,serC,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,20,,1,,,,R01776,2.3.1.31,K00641,,metX,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,20,,2,,,,R01776,2.3.1.31,K00651,,metA,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,20,,3,,,,R01776,2.3.1.31,K19726,,dcsE,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,21,,1,,,,R00651,2.5.1.49,K01740,,metY,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,21,,2,,,,R00651,2.5.1.49,K17069,,met17,,,,,,,,,,,,
3,Cysteine,Cysteine Biosynthesis,-2,,21,,3,,,,R03260,2.5.1.48,K01739,,metB,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sulfate,SO4thiosulfate transporter,6,,1,,1,,,,,,K02046,,cysU,,,,,,,,,,,,
4,Sulfate,SO4thiosulfate transporter,6,,1,,2,,,,,,K02047,,cysW,,,,,,,,,,,,
4,Sulfate,SO4thiosulfate transporter,6,,1,,3,,,,,,K02048,,cysA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,1,,1,,,,R01777,2.3.1.46,K00641,,metX,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,1,,2,,,,R01777,2.3.1.46,K00651,,metA,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,2,,1,,,,R03260,2.5.1.48,K01739,,metB,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,3,,1,,,,R01286,4.4.1.13,K00816,,ccbl,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,3,,2,,,,R01286,4.4.1.13,K01760,,metC,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,3,,3,,,,R01286,4.4.1.13,K14155,,patB,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,4,,1,,,,R00946,2.1.1.13,K00548,,metH,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,4,,2,,,,R00946,2.1.1.13,K24042,,yitJ,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,4,,3,,,,R04405,2.1.1.14,K00549,,metE,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,4,,4,,,,R02821,2.1.1.5,K00544,,bhmt,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,4,,5,,,,R11063,2.1.1.10,K00547,,mmuM,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,5,,1,,,,R01771,2.7.1.39,K00872,,thrB,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,5,,2,,,,R01771,2.7.1.39,K02203,,thrH,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,5,,3,,,,R01771,2.7.1.39,K02204,,thrB2,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,13,,1,,,,R13363,2.5.1.160,K27857,,cgs1,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,6,,1,,,,R04405,2.1.1.14,K00549,,metE,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,7,,1,,,,R01776,2.3.1.31,K00641,,metX,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,7,,2,,,,R01776,2.3.1.31,K00651,,metA,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,7,,3,,,,R01776,2.3.1.31,K19726,,dcsE,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,8,,1,,,,R01287,2.5.1.49,K01740,,metY,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,8,,2,,,,R01287,2.5.1.49,K17069,,met17,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,9,,1,,,,R00946,2.1.1.13,K00548,,metH,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,9,,2,,,,R00946,2.1.1.13,K24042,,yitJ,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,9,,3,,,,R04405,2.1.1.14,K00549,,metE,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,10,,1,,,,R00480,2.7.2.4,K00928,,lysC,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,10,,2,,,,R00480,2.7.2.4,K12524,,thrA,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,10,,3,,,,R00480,2.7.2.4,K12525,,metL,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,10,,4,,,,R00480,2.7.2.4,K12526,,lysAC,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,11,,1,,,,R02291,1.2.1.11,K00133,,asd,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,12,,1,,,,R12505,2.8.1.16,K23975,,K23975,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,12,,2,,,,R12505,2.8.1.16,K23976,,K23976,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,14,,1,,,,R01773,1.1.1.3,K00003,,hom,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,14,,2,,,,R01773,1.1.1.3,K12524,,thrA,,,,,,,,,,,,
5,Methionine,Methionine Synthesis,-2,,14,,3,,,,R01773,1.1.1.3,K12525,,metL,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Methionine,Methionine Transport,-2,,1,,1,,,,,,K02073,,MetQ,,,,,,,,,,,,
6,Methionine,Methionine Transport,-2,,1,,2,,,,,,K02072,,MetI,,,,,,,,,,,,
6,Methionine,Methionine Transport,-2,,1,,3,,,,,,K02071,,MetN,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,1,,1,dioxygenase,,,R00893,1.13.11.20,K00456,,cd01,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,2,,1,aminotransferase to sulfinopyruvate which spontaneously goes to pyruvate,,,R02619,2.6.1.1,K00811,,asp5,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,2,,2,aminotransferase to sulfinopyruvate which spontaneously goes to pyruvate,,,R02619,2.6.1.1,K00812,,aspB,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,2,,3,aminotransferase to sulfinopyruvate which spontaneously goes to pyruvate,,,R02619,2.6.1.1,K00813,,aspC,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,2,,4,aminotransferase to sulfinopyruvate which spontaneously goes to pyruvate,,,R02619,2.6.1.1,K11358,,yhdR,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,2,,5,aminotransferase to sulfinopyruvate which spontaneously goes to pyruvate,,,R02619,2.6.1.1,K14454,,got1,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,2,,6,aminotransferase to sulfinopyruvate which spontaneously goes to pyruvate,,,R02619,2.6.1.1,K14455,,got2,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,3,,1,to pyruvate,,,R00782,4.4.1.1,K01758,,cth,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,3,,2,to pyruvate,,,R00782,4.4.1.1,K17217,,mccB,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,3,,3,to pyruvate,,,R00782,4.4.1.28,K22207,,lcd,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,3,,4,to pyruvate,,,R00782,4.4.1.28,K20021,,lcd2,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,3,,5,to pyruvate,,,R00782,4.4.1.13,K00816,,ccbl,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,3,,6,to pyruvate,,,R00782,4.4.1.13,K01760,,metC,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,3,,7,to pyruvate,,,R00782,4.4.1.13,K14155,,patB,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,4,,1,to mercaptopyruvate,,,R00895,2.6.1.3,EC2_6_1_3,,EC2_6_1_3,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,5,,1,to alanine,,,R11528,2.8.1.7,K04487,,iscS,,,,,,,,,,,,
7,Cysteine,Cysteine Degradation,-2,,5,,2,to alanine,,,R11528,2.8.1.7,K11717,,sufS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Methionine,Methionine Degradation,-2,,1,,1,,,,R00177,2.5.1.6,K00789,,metK,,,,,,,,,,,,
8,Methionine,Methionine Degradation,,,2,,1,,,,R04858,2.1.1.37,K00558,,dcm,,,,,,,,,,,,
8,Methionine,Methionine Degradation,,,2,,2,,,,R04858,2.1.1.37,K17398,,dnmt3A,,,,,,,,,,,,
8,Methionine,Methionine Degradation,,,2,,3,,,,R04858,2.1.1.37,K17399,,dnmt3B,,,,,,,,,,,,
8,Methionine,Methionine Degradation,,,2,,4,,,,R00367,2.1.1.20,K00552,,gnmt,,,,,,,,,,,,
8,Methionine,Methionine Degradation,,,3,,1,,,,R00192,3.13.2.1,K01251,,ahcY,,,,,,,,,,,,
8,Methionine,Methionine Degradation,,,4,,1,,,,R01376,2.6.1.28,K05821,,aro9,,,,,,,,,,,,
8,Methionine,Methionine Degradation,,,5,,1,,,,R01377,4.1.1.-,K12732,,aro10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,1,,1,,,,R00177,2.5.1.6,K00789,,metK,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,2,,1,,,,R00178,4.1.1.50,K01611,,speD,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,3,,1,,,,R01920,2.5.1.16,K00797,,speE,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,3,,2,,,,R01920,2.5.1.16,K24034,,spe3,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,3,,3,,,,R02869,2.5.1.22,K00802,,sms,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,4,,1,,,,R01401,3.2.2.9,K01243,,mtn,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,4,,2,,,,R01401,3.2.2.9,K18284,,mtnN,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,4,,3,,,,,,mtnn_align,,mtnN_hmm,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,4,,4,,,,R01401,3.2.2.16,K01244,,mtn1,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,5,,1,,,,R04143,2.7.1.100,K00899,,mtnK,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,5,,2,,,,,,mtnk_align,,mtnK_hmm,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,6,,1,,,,R01402,2.4.2.28,K00772,,mtaP,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,6,,2,,,,R01402,2.4.2.28,K05810,,yfiH,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,7,,1,,,,R04420,5.3.1.23,K08963,,mtnA,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,8,,1,,,,R07392,4.2.1.109,K08964,,mtnB,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,8,,2,,,,R07392,4.2.1.109,K16054,,dep1,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,9,,1,,,,,,mtnw_align,,mtnW_hmm,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,9,,2,,,,R07393,5.3.2.5,K08965,,mtnW,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,10,,1,,,,,,mtnx_align,,mtnX_hmm,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,10,,2,,,,R07394,3.1.3.87,K08966,,mtnX,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,11,,1,,,,R07395,3.1.3.77,K09880,,mtnC,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,11,,2,,,,R07395,3.1.3.77,K16054,,dep1,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,12,,1,,,,R07364,1.13.11.54,K08967,,mtnD,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,13,,1,,,,R07396,2.6.1.5,K00815,,tat,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,13,,2,,,,R07396,2.6.1.57,K00838,,aro8,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,13,,3,,,,R07396,2.6.1.57,K00832,,tyrB,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,13,,4,,,,R12507,2.6.1.117,K08969,,mtnE,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,13,,5,,,,R12507,2.6.1.117,K23977,,gtk,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,14,,1,,,,,,mtnbd_align,,mtnBD,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,15,,1,,,,,,rlp1_align,,rlp1,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,16,,1,,,,,,cupin_align,,cupin,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,17,,1,,,,,,met17_align,,met17,,,,,,,,,,,,
9,Methionine,Methionine Salvage,,,18,,1,,,,,,ald2_align,,ald2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,1,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K13060,,lasI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,2,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K13061,,rhlI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,3,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K13062,,ainS,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,4,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K20248,,cinI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,5,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K20249,,raiI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,6,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K20250,,cciI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,7,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K22954,,luxI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,8,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K22955,,traI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,9,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K22956,,expI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,10,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K22957,,cviI,,,,,,,,,,,,
10,Methionine,Methionine - N-Acyl-L-homoserine lactone,,,1,,11,acyl homoserine lactone synthase,,,R08940,2.3.1.184,K22968,,sinI,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,1,,1,,,,R00894,6.3.2.2,K01919,,gshA,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,1,,2,,,,R00894,6.3.2.2,K06048,,ybdK,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,1,,3,,,,R00894,6.3.2.2,K11204,,gclc,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,1,,4,,,,R00894,6.3.2.2,K11205,,gclm,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,2,,1,,,,R00497,6.3.2.3,K01920,,gshB,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,2,,2,,,,R00497,6.3.2.3,K21456,,gss,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,3,,1,,,,R00274,1.11.1.9,K00432,,gpx4,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,3,,2,,,,R03167,1.11.1.12,K05361,,gpx4,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,4,,1,,,,R03522,2.5.1.18,K00799,,gst,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,4,,2,,,,R03522,2.5.1.18,K23790,,gstP,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,4,,3,,,,R03522,2.5.1.18,K04097,,hpgds,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,4,,4,,,,R03522,2.5.1.18,K13299,,gstk1,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,4,,5,,,,R03522,2.5.1.18,K21888,,dhar,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,4,,6,,,,R03522,2.5.1.18,K25210,,lancl1,,,,,,,,,,,,
11,Glutathione,Glutathione Synthesis,,,5,,1,,,,R00115,1.8.1.7,K00383,,gor,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Glutathione,Glutathione Transporter,,,1,,1,glutathione ABC transporter periplasmic binding protein,,,,,K13889,,GsiB,,,,,,,,,,,,
12,Glutathione,Glutathione Transporter,,,1,,2,glutathione ABC transporter membrane subunit GsiC,,,,,K13890,,GsiC,,,,,,,,,,,,
12,Glutathione,Glutathione Transporter,,,1,,3,glutathione ABC transporter membrane subunit GsiD,,,,,K13891,,GsiD,,,,,,,,,,,,
12,Glutathione,Glutathione Transporter,,,1,,4,glutathione ABC transporter ATP binding subunit GsiA,,,,,K13892,,GsiA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DHPS,DHPS Transporter,,,1,,1,"C4-dicarboxylate transporter, DctP subunit",,,,,,,HpsK,,,,,,,,,,,,
13,DHPS,DHPS Transporter,,,1,,2,"C4-dicarboxylate transporter, DctQ subunit",,,,,K11689,,HpsL,,,,,,,,,,,,
13,DHPS,DHPS Transporter,,,1,,3,"C4-dicarboxylate transporter, DctM subunit",,,,,K11690,,HpsM,,,,,,,,,,,,
13,DHPS,DHPS Transporter,,,1,,4,,,,,,,,cuyZ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,1,,1,,,,R09545,1.1.1.308,K15509,,hpsN,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,1,,2,,,,,,hpsn_align,,hpsN_hmm,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,2,,1,,,,R05693,1.1.1.310,K16843,,slcC,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,3,,1,,,,R07137,1.1.1.338,K16844,,comC,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,4,,1,,,,R07136,1.1.1.337,K05884,,comC2,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,5,,1,,,,R07633,4.4.1.24,K16845,,suyA,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,5,,2,,,,R07633,4.4.1.24,K16846,,suyB,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,6,,1,,,,R05774,4.1.1.79,K06034,,comD,,,,,,,,,,,,
14,DHPS,DHPS Degradation,,,6,,2,,,,R05774,4.1.1.79,K13039,,comE,,,,,,,,,,,,
